FZ,SR,SA,V,FX,NFX,NFY
-1033.73,0.109,0.057,40.42,2704.36,-2.62,0.05
-1035.51,0.108,0.06,40.42,2661.54,-2.57,0.04
-1042.65,0.107,0.063,40.43,2612.23,-2.51,0.03
-1054.55,0.108,0.058,40.42,2573.93,-2.44,0.04
-1067.36,0.107,0.06,40.41,2550.93,-2.39,0.04
-1070.61,0.108,0.06,40.39,2553.31,-2.38,0.05
-1066.0,0.108,0.066,40.37,2587.2,-2.43,0.06
-1054.51,0.107,0.067,40.36,2650.41,-2.51,0.06
-1044.33,0.107,0.063,40.35,2725.55,-2.61,0.06
-1036.13,0.107,0.061,40.36,2784.64,-2.69,0.06
-1033.49,0.107,0.063,40.35,2807.91,-2.72,0.05
-1035.54,0.107,0.06,40.37,2788.12,-2.69,0.04
-1037.55,0.107,0.064,40.37,2744.35,-2.65,0.03
-1053.35,0.107,0.058,40.36,2687.07,-2.55,0.03
-1066.65,0.107,0.063,40.36,2636.76,-2.47,0.03
-1073.96,0.107,0.064,40.34,2614.04,-2.43,0.04
-1075.06,0.107,0.057,40.33,2622.81,-2.44,0.04
-1071.31,0.107,0.069,40.33,2664.77,-2.49,0.05
-1067.0,0.107,0.05,40.34,2729.31,-2.56,0.06
-1056.76,0.107,0.075,40.35,2799.73,-2.65,0.06
-1046.81,0.107,0.07,40.37,2851.39,-2.72,0.05
-1046.33,0.106,0.061,40.38,2862.76,-2.74,0.04
-1048.13,0.105,0.056,40.38,2838.87,-2.71,0.03
-1054.84,0.104,0.058,40.37,2790.35,-2.65,0.03
-1068.02,0.103,0.061,40.34,2739.53,-2.57,0.02
-1078.65,0.102,0.064,40.32,2696.07,-2.5,0.02
-1089.19,0.101,0.06,40.3,2675.35,-2.46,0.03
-1094.24,0.1,0.066,40.28,2682.55,-2.45,0.04
-1089.33,0.1,0.069,40.27,2724.12,-2.5,0.05
-1075.97,0.099,0.069,40.27,2790.46,-2.59,0.05
-1062.85,0.098,0.07,40.28,2862.42,-2.69,0.05
-1052.17,0.097,0.057,40.3,2914.2,-2.77,0.04
-1047.72,0.096,0.057,40.3,2924.66,-2.79,0.03
-1048.55,0.094,0.067,40.32,2896.65,-2.76,0.02
-1058.94,0.092,0.064,40.31,2849.08,-2.69,0.02
-1069.0,0.091,0.064,40.31,2794.66,-2.61,0.02
-1081.93,0.09,0.061,40.31,2753.48,-2.54,0.02
-1094.01,0.089,0.066,40.31,2731.09,-2.5,0.03
-1096.91,0.089,0.057,40.33,2736.04,-2.49,0.04
-1093.56,0.088,0.06,40.34,2774.05,-2.54,0.05
-1080.62,0.087,0.056,40.36,2834.42,-2.62,0.05
-1069.41,0.087,0.06,40.37,2901.48,-2.71,0.05
-1057.07,0.085,0.066,40.37,2949.27,-2.79,0.04
-1048.09,0.083,0.057,40.37,2958.65,-2.82,0.03
-1048.44,0.082,0.063,40.37,2927.28,-2.79,0.02
-1056.04,0.081,0.063,40.37,2873.15,-2.72,0.01
-1073.13,0.08,0.063,40.38,2816.58,-2.62,0.01
-1088.44,0.08,0.064,40.38,2769.3,-2.54,0.02
-1096.57,0.079,0.064,40.4,2742.89,-2.5,0.02
-1101.38,0.079,0.064,40.42,2741.29,-2.49,0.03
-1094.81,0.078,0.06,40.42,2768.4,-2.53,0.04
-1088.42,0.077,0.069,40.43,2818.13,-2.59,0.05
-1073.75,0.076,0.064,40.42,2881.07,-2.68,0.05
-1058.86,0.075,0.067,40.41,2928.99,-2.77,0.04
-1052.05,0.073,0.07,40.4,2947.69,-2.8,0.03
-1050.74,0.072,0.064,40.38,2927.83,-2.79,0.02
-1056.89,0.071,0.067,40.36,2882.67,-2.73,0.01
-1068.38,0.071,0.066,40.34,2829.14,-2.65,0.01
-1083.14,0.072,0.066,40.31,2781.98,-2.57,0.02
-1096.42,0.072,0.063,40.3,2748.25,-2.51,0.02
-1103.95,0.072,0.067,40.27,2736.22,-2.48,0.03
-1099.83,0.071,0.057,40.25,2749.46,-2.5,0.03
-1091.64,0.07,0.056,40.23,2786.59,-2.55,0.04
-1079.41,0.07,0.053,40.22,2839.17,-2.63,0.04
-1067.14,0.068,0.053,40.21,2887.5,-2.71,0.03
-1056.73,0.068,0.066,40.21,2910.84,-2.75,0.03
-1051.51,0.066,0.061,40.22,2902.59,-2.76,0.02
-1052.95,0.064,0.06,40.23,2865.49,-2.72,0.01
-1065.36,0.063,0.064,40.23,2815.57,-2.64,0.01
-1078.59,0.063,0.063,40.24,2767.54,-2.57,0.02
-1092.75,0.063,0.067,40.24,2727.2,-2.5,0.02
-1107.56,0.062,0.061,40.24,2697.87,-2.44,0.03
-1110.44,0.061,0.063,40.25,2678.67,-2.41,0.03
-1104.35,0.058,0.057,40.26,2680.78,-2.43,0.04
-1095.97,0.056,0.067,40.27,2702.11,-2.47,0.04
-1085.38,0.056,0.061,40.28,2729.31,-2.51,0.03
-1077.47,0.053,0.088,40.28,2749.66,-2.55,0.03
-1069.16,0.052,0.06,40.3,2749.45,-2.57,0.03
-1071.71,0.051,0.063,40.31,2726.33,-2.54,0.02
-1075.61,0.05,0.057,40.32,2681.6,-2.49,0.02
-1086.92,0.049,0.061,40.33,2624.48,-2.41,0.03
-1099.46,0.048,0.058,40.31,2566.62,-2.33,0.03
-1116.7,0.046,0.063,40.3,2508.7,-2.25,0.04
-1123.56,0.046,0.051,40.29,2464.74,-2.19,0.04
-1120.95,0.044,0.061,40.3,2440.69,-2.18,0.04
-1113.68,0.043,0.077,40.3,2446.45,-2.2,0.04
-1102.55,0.042,0.053,40.3,2479.9,-2.25,0.04
